,Mission name,Organisation,Nation,Type (U/mass),Launch date,Status,Mission description,Photo
438,"XW-2E (CAS 3E, Chinese Amateur Radio Satellite)",CAMSAT (Chinese Amateur Satellite Group),China,1.5 kg,2015-09-19,"Semi-operational, Was operational",Amateur radio missions with transponders and telemetry downlinks.,
439,"XW-2F (CAS 3F, Chinese Amateur Radio Satellite)",CAMSAT (Chinese Amateur Satellite Group),China,1.5 kg,2015-09-19,"Operational, ?",Amateur radio missions with transponders and telemetry downlinks.,
440,"ZJ 1 (Zijing 1, Zijing-1)",Tsinghua University,China,0.234 kg,2015-09-19,Unknown,Test formation flying on tethers and inter-satellite communications plus camera.,
441,"TW-1A (STU-2, Shankeda 2, Tianwang-1A, Sat-A, SECM-1, STU-2A)",Shanghai Engineering Centre for Microsatellites (SECM),China,3U,2015-09-25,"Operational, ?",Test inter-satellite communication and multiple other technologies.,
442,"TW-1B (STU-2, NJUST 2, Tianwang-1B, Sat-B, SECM-1, STU-2B)",Shanghai Engineering Centre for Microsatellites,China,2U,2015-09-25,"Reentered, Was operational",Test inter-satellite communication and multiple other technologies.,
443,"TW-1C (STU-2, NJFA , Tianwang-1C, Sat-C, SECM-1, STU-2C)",Shanghai Engineering Centre for Microsatellites,China,2U,2015-09-25,Operational,Test inter-satellite communication and multiple other technologies.,
444,"exactView-9 (EV-9, EV9)",ExactEarth,Canada,5.5 kg,2015-09-28,Operational,Operational mission for AIS messages to detect ships.,
445,"Lemur-2 1 Joel (FM2, Low Earth Multi-Use Receiver )",Spire,US,3U,2015-09-28,"Operational, ?","Constellation for GPS radio occultation weather data, AIS and ADS-B.",
446,Lemur-2 2 Peter (FM3),Spire,US,3U,2015-09-28,"Operational, ?","Constellation for GPS radio occultation weather data, AIS and ADS-B.",
447,Lemur-2 3 Jeroen (FM4),Spire,US,3U,2015-09-28,"Operational, ?","Constellation for GPS radio occultation weather data, AIS and ADS-B.",
448,Lemur-2 4 Chris (FM5),Spire,US,3U,2015-09-28,"Operational, ?","Constellation for GPS radio occultation weather data, AIS and ADS-B.",
449,AeroCube-5C,The Aerospace Corporation,US,1.5U,2015-10-08,"Unknown, Likely operational",Demonstrate new technologies for pointing and tracking between two identical CubeSats and to demonstrate a deorbit device.,
450,"Aerocube-7A (OCSD, Optical Communications and Sensor Demonstration, IOCPS-A, Integrated Optical Communications and Proximity Sensors)",The Aerospace Corporation,US,1.5U,2015-10-08,"Semi-operational, Was operational",Demonstrate optical communications from a CubeSat.,
451,ARC-1 (Alaska Research CubeSat),University of Alaska,US,1U,2015-10-08,No signal,Educational training and demonstrate CubeSat platform technologies.,
452,"BisonSat (Nwist Q̓ʷiq̓ʷáy, SKC)",Salish Kootenai College,US,1U,2015-10-08,Semi-operational,Educational training and camera to study various hydrologic processes.,
453,"Fox-1A (AMSAT-OSCAR 85, AO-85)",The Radio Amateur Satellite Corporation (AMSAT),US,1U,2015-10-08,Operational,Amateur radio mission with transponder.,
454,"LMRSTSat (LMRSat , LMRST-Sat, Low Mass Radio Science Transponder - Satellite)",Stanford University,US,2U,2015-10-08,No signal,Far-field source for calibration of the Deep Space Network in X-band.,
455,"PropCube 1 (Flora, Propagation CubeSat)",Naval Postgraduate School (NPS),US,1U,2015-10-08,Operational,Perform dual frequency ionospheric calibration measurements of ionospheric electron density and irregularities.,
456,PropCube 3 (Merryweather. Propagation CubeSat),Naval Postgraduate School (NPS),US,1U,2015-10-08,Operational,Perform dual frequency ionospheric calibration measurements of ionospheric electron density and irregularities.,
457,SINOD-D 1 (SRI International NanoSat Orbital Demonstration),SRI International,US,2U,2015-10-08,"Unknown, Likely operational",High-speed data downlink for via software defined radio.,
458,SINOD-D 3 (SRI International NanoSat Orbital Demonstration),SRI International,US,2U,2015-10-08,"Unknown, Likely operational",High-speed data downlink for via software defined radio.,
459,SNaP-3 A ALICE ((Space and Missile Defense Command Nano-Satellite-3),US Army Space and Missile Defense Command,US,3U,2015-10-08,Was operational,Related to the SMDC NAnosatellite Program (SNaP) - Joint Capabilities Technology Demonstrations.,
460,SNaP-3 B EDDIE ((Space and Missile Defense Command Nano-Satellite-3),US Army Space and Missile Defense Command,US,3U,2015-10-08,Was operational,Related to the SMDC NAnosatellite Program (SNaP) - Joint Capabilities Technology Demonstrations.,
461,SNAP-3 C JIMI (Space and Missile Defense Command Nano-Satellite-3),US Army Space and Missile Defense Command,US,3U,2015-10-08,Was operational,Related to the SMDC NAnosatellite Program (SNaP) - Joint Capabilities Technology Demonstrations.,
462,Argus (SLU-02),Saint Louis University,US,2U,2015-11-04,Launch failure,Improve the ability to model the effects of space radiation on modern electronics.,
463,EDSN 1 (Edison Demonstration of Smallsat Networks),NASA Ames Research Center,US,1.5U,2015-11-04,Launch failure,Demonstrate inter-satellite communications.,
464,EDSN 2 (Edison Demonstration of Smallsat Networks),NASA Ames Research Center,US,1.5U,2015-11-04,Launch failure,Demonstrate inter-satellite communications.,
465,EDSN 3 (Edison Demonstration of Smallsat Networks),NASA Ames Research Center,US,1.5U,2015-11-04,Launch failure,Demonstrate inter-satellite communications.,
466,EDSN 4 (Edison Demonstration of Smallsat Networks),NASA Ames Research Center,US,1.5U,2015-11-04,Launch failure,Demonstrate inter-satellite communications.,
467,EDSN 5 (Edison Demonstration of Smallsat Networks),NASA Ames Research Center,US,1.5U,2015-11-04,Launch failure,Demonstrate inter-satellite communications.,
468,EDSN 6 (Edison Demonstration of Smallsat Networks),NASA Ames Research Center,US,1.5U,2015-11-04,Launch failure,Demonstrate inter-satellite communications.,
469,EDSN 7 (Edison Demonstration of Smallsat Networks),NASA Ames Research Center,US,1.5U,2015-11-04,Launch failure,Demonstrate inter-satellite communications.,
470,EDSN 8 (Edison Demonstration of Smallsat Networks),NASA Ames Research Center,US,1.5U,2015-11-04,Launch failure,Demonstrate inter-satellite communications.,
471,PrintSat,Montana State University,US,1U,2015-11-04,Launch failure,Demonstrate inter-satellite communications.,
472,STACEM,Utah State University Research Foundation Space Dynamics Laboratory,US,3U,2015-11-04,Launch failure,Demonstrate camera to collect imagery in visible and hyperspectral.,
473,"SUPERNOVA-BETA (TechSat I, TechSat 1)",Pumpkin,US,6U,2015-11-04,Launch failure,Demonstrate CubeSat platform technologues.,
474,"BEVO 2 (Bevo-2, LONESTAR)",University of Texas at Austin,US,3U,2015-12-06,"No signal, Reentered",Demonstratine Autonomous Rendezvous and Docking (ARD) technology.,
475,CADRE (CubeSat investigating Atmospheric Density Response to Extreme driving),University of Michigan,US,3U,2015-12-06,"Reentered, No signal",Flight-test low-cost dual-frequency GPS to measure atmospheric and ionospheric total electron content.,
476,Flock-2e 1,Planet Labs,US,3U,2015-12-06,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
477,Flock-2e 2,Planet Labs,US,3U,2015-12-06,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
478,Flock-2e 3,Planet Labs,US,3U,2015-12-06,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
479,Flock-2e 4,Planet Labs,US,3U,2015-12-06,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
480,Flock-2e 5,Planet Labs,US,3U,2015-12-06,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
481,Flock-2e 6,Planet Labs,US,3U,2015-12-06,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
482,Flock-2e 7,Planet Labs,US,3U,2015-12-06,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
483,Flock-2e 8,Planet Labs,US,3U,2015-12-06,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
484,Flock-2e 9,Planet Labs,US,3U,2015-12-06,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
485,Flock-2e 10,Planet Labs,US,3U,2015-12-06,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
486,Flock-2e 11,Planet Labs,US,3U,2015-12-06,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
487,Flock-2e 12,Planet Labs,US,3U,2015-12-06,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
488,MinXSS (Miniature X-ray Solar Spectrometer CubeSat),University of Colorado at Boulder,US,3U,2015-12-06,"Reentered, Operational",Measure the intensity of the soft x-ray spectrum from 0.6 keV (20Å) to 25 keV (0.5Å).,
489,"Nodes J (Nodes B, Nodes 2)",NASA Ames Research Center,US,1.5U,2015-12-06,"Reentered, Was operational",Technology demonstration of a pair of CubeSats with advanced cross-link and downlink communications capability.,
490,"Nodes K (NODes 1, Nodes 1, Nodes A)",NASA Ames Research Center,US,1.5U,2015-12-06,"Reentered, Was operational",Technology demonstration of a pair of CubeSats with advanced cross-link and downlink communications capability.,
491,SNAPS (Stanford Nano Picture Satellite),Stanford University,US,0.25U,2015-12-06,"On spacecraft, ?",Image other CubeSats autonomously and demonstrate CubeSat platform technologies.,
492,"STMSat-1 (STM CubeSat, St. Thomas More Cathedral School)",St. Thomas More Cathedral School,US,1U,2015-12-06,"Reentered, No signal",Educational mission and take photos of Earth.,
493,Athenoxat-1,Microspace Rapid Pte Ltd.,Italy,3U,2015-12-16,Operational,Demonstrate the functionality of night vision optical payload.,
494,Galassia,National University of Singapore,Singapore,2U,2015-12-16,Operational,Educational traiming and measure total electron count and photon-entangling payload.,
495,VELOX-II,Nanyang Technological University,Singapore,6U,2015-12-16,"Was operational, Semi-operational, ?",Demonstrate data transmission via Inmarsat geostationary communications satellite.,
496,HORYU-4 (AEGIS),Kyushu Institute of Technology,Japan,10 kg,2016-02-17,"Operational, ?",Test experimental high-voltage solar array and observing corresponding spacecraft charging effects on the satellite.,
497,Flock-2e' 1,Planet Labs,US,3U,2016-03-23,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
498,Flock-2e' 2,Planet Labs,US,3U,2016-03-23,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
499,Flock-2e' 3,Planet Labs,US,3U,2016-03-23,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
500,Flock-2e' 4,Planet Labs,US,3U,2016-03-23,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
501,Flock-2e' 5,Planet Labs,US,3U,2016-03-23,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
502,Flock-2e' 6,Planet Labs,US,3U,2016-03-23,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
503,Flock-2e' 7,Planet Labs,US,3U,2016-03-23,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
504,Flock-2e' 8,Planet Labs,US,3U,2016-03-23,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
505,Flock-2e' 9,Planet Labs,US,3U,2016-03-23,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
506,Flock-2e' 10,Planet Labs,US,3U,2016-03-23,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
507,Flock-2e' 11,Planet Labs,US,3U,2016-03-23,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
508,Flock-2e' 12,Planet Labs,US,3U,2016-03-23,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
509,Flock-2e' 13,Planet Labs,US,3U,2016-03-23,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
510,Flock-2e' 14,Planet Labs,US,3U,2016-03-23,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
511,Flock-2e' 15,Planet Labs,US,3U,2016-03-23,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
512,Flock-2e' 16,Planet Labs,US,3U,2016-03-23,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
513,Flock-2e' 17,Planet Labs,US,3U,2016-03-23,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
514,Flock-2e' 18,Planet Labs,US,3U,2016-03-23,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
515,Flock-2e' 19,Planet Labs,US,3U,2016-03-23,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
516,Flock-2e' 20,Planet Labs,US,3U,2016-03-23,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
517,Lemur-2 5 Theresacondor (FM6),Spire,US,3U,2016-03-23,"Reentered, Operational","Constellation for GPS radio occultation weather data, AIS and ADS-B.",
518,Lemur-2 6 Kane (FM7),Spire,US,3U,2016-03-23,"Reentered, Operational","Constellation for GPS radio occultation weather data, AIS and ADS-B.",
519,Lemur-2 7 Nick-Allain (FM8),Spire,US,3U,2016-03-23,"Reentered, Operational","Constellation for GPS radio occultation weather data, AIS and ADS-B.",
520,Lemur-2 8 Jeff (FM9),Spire,US,3U,2016-03-23,"Reentered, Operational","Constellation for GPS radio occultation weather data, AIS and ADS-B.",
521,Lemur-2 9 Cubecheese (FM10),Spire,US,3U,2016-03-23,"Reentered, Operational","Constellation for GPS radio occultation weather data, AIS and ADS-B.",
522,Lemur-2 10 DrMuzz (FM11),Spire,US,3U,2016-03-23,"Reentered, Operational","Constellation for GPS radio occultation weather data, AIS and ADS-B.",
523,Lemur-2 11 Bridgeman (FM12),Spire,US,3U,2016-03-23,"Reentered, Operational","Constellation for GPS radio occultation weather data, AIS and ADS-B.",
524,Lemur-2 12 Nate (FM13),Spire,US,3U,2016-03-23,"Reentered, Operational","Constellation for GPS radio occultation weather data, AIS and ADS-B.",
525,Lemur-2 13 Beccadewey (FM14),Spire,US,3U,2016-03-23,"Reentered, Deployment failure","Constellation for GPS radio occultation weather data, AIS and ADS-B.",
526,Tomsk-TPU 120 (Tomsk-TPU-120),Tomsk Polytechnic University,Russia,3U,2016-03-31,"Reentered, Was operational",Test new space materials and will be the first space with a 3D-printed structure.,
527,AAUSAT4 (AAUSAT-4),Aalborg University,Denmark,1U,2016-04-25,Operational,Educational training and test improved AIS receiver.,
528,e-st@r-II (e-star-ii),Polytechnic University of Turin,Italy,1U,2016-04-25,Operational,Educational training and demonstrate ADCS technologies.,
529,OUFTI-1,University of Liège,Belgium,1U,2016-04-25,"Was operational, Semi-operational",Test the use of the D-STAR communication protocol in space.,
530,SamSat-218/D (Kontact-Nanosputnik),Samara State Aerospace University,Russia,3U,2016-04-28,"Semi-operational, ?, Reentered",Demonstration of navigation and control technologies.,
531,BEESAT-4 (BEESAT 4),Berlin Technical University,Germany,1U,2016-06-22,Operational,Educational training and demonstrate CubeSat platform technologies plus camera.,
532,Flock-2p 1,Planet Labs,US,3U,2016-06-22,Operational,Constellation for optical Earth observation with 3-5m resolution.,
533,Flock-2p 2,Planet Labs,US,3U,2016-06-22,Operational,Constellation for optical Earth observation with 3-5m resolution.,
534,Flock-2p 3,Planet Labs,US,3U,2016-06-22,Operational,Constellation for optical Earth observation with 3-5m resolution.,
535,Flock-2p 4,Planet Labs,US,3U,2016-06-22,Operational,Constellation for optical Earth observation with 3-5m resolution.,
536,Flock-2p 5,Planet Labs,US,3U,2016-06-22,Operational,Constellation for optical Earth observation with 3-5m resolution.,
537,Flock-2p 6,Planet Labs,US,3U,2016-06-22,Operational,Constellation for optical Earth observation with 3-5m resolution.,
538,Flock-2p 7,Planet Labs,US,3U,2016-06-22,Operational,Constellation for optical Earth observation with 3-5m resolution.,
539,Flock-2p 8,Planet Labs,US,3U,2016-06-22,Operational,Constellation for optical Earth observation with 3-5m resolution.,
540,Flock-2p 9,Planet Labs,US,3U,2016-06-22,Operational,Constellation for optical Earth observation with 3-5m resolution.,
541,Flock-2p 10,Planet Labs,US,3U,2016-06-22,Operational,Constellation for optical Earth observation with 3-5m resolution.,
542,Flock-2p 11,Planet Labs,US,3U,2016-06-22,Operational,Constellation for optical Earth observation with 3-5m resolution.,
543,Flock-2p 12,Planet Labs,US,3U,2016-06-22,Operational,Constellation for optical Earth observation with 3-5m resolution.,
544,"Sathyabamasat (SNSAT, SB Sat)",Sathyabama University,India,2U,2016-06-22,Was operational,Measure the densities of the green house gases using ARGUS 1000 IR Spectrometer.,
545,Swayam COEP,"College of Engineering, Pune",India,1U,2016-06-22,"Was operational, Semi-operational, ?",Educational mission to develop CubeSat technologies and amateur radio mission.,
546,"Aoxiang Zhixing (Star of Aoxiang, SAOX, AX-1)",Northwestern Polytechnical University,China,12U,2016-06-25,"Reentered, Operational",Demonstrate first 12U CubeSat platform and using polarized sunlight.,
547,3CAT-2 (3CAT2),Universitat Politècnica de Catalunya,Spain,6U,2016-08-15,Was operational,Perform ocean altimetry by means of Global Navigation Satellite Systems Reflectometry (GNSS-R).,
548,"ALSAT-Nano (AlSat-1N, ALSAT 1N, AISAT-Nano)",UK Space Agency,UK,3U,2016-09-26,Operational,Educational training and demonstrate thin-film solar cells.,
549,CanX-7,Space Flight Laboratory,Canada,3U,2016-09-26,"Operational, Reentered",Demonstrate deployable drag sail.,
550,PISat (PESIT Imaging Satellite),PES Institute of Technology,India,5.3 kg,2016-09-26,Was operational,Educational training and camera payload.,
551,Pratham,Indian Institute of Technology Bombay,India,10 kg,2016-09-26,Was semi-operational,Educational training and measure total electron count of the ionosphere.,
552,Lemur-2 14 Sokolsky (FM15),Spire,US,3U,2016-10-18,"Operational, ?","Constellation for GPS radio occultation weather data, AIS and ADS-B.",
553,Lemur-2 15 Xiaoqing (FM16),Spire,US,3U,2016-10-18,"Operational, ?","Constellation for GPS radio occultation weather data, AIS and ADS-B.",
554,Lemur-2 16 Anubhavthakur (FM17),Spire,US,3U,2016-10-18,"Operational, ?","Constellation for GPS radio occultation weather data, AIS and ADS-B.",
555,Lemur-2 17 Wingo (FM18),Spire,US,3U,2016-10-18,"Operational, ?","Constellation for GPS radio occultation weather data, AIS and ADS-B.",
556,"CAS 2T (Chinese Amateur Radio Satellite 2T, Fengtai-1, CAS-2T)",CAMSAT (Chinese Amateur Satellite Group),China,2U,2016-11-09,Semi-operational,FM transponder.,
557,Lishui-1 (Lishui 1-01),Zhejiang Lizhui Electronic Technology Co,China,3U,2016-11-09,Unknown,\-,
558,"XX-1 (Xiaoxiang 1, XX1, TY-1, Tianji-1)",Spacety,China,6U,2016-11-09,Was operational,Stabilized camera system.,
559,AeroCube-8C (IMPACT),The Aerospace Corporation,US,1.5U,2016-11-11,"Operational, ?",Demonstrate scalable ion-electrospray propulsion system and materials experiments.,
560,AeroCube-8D (IMPACT),The Aerospace Corporation,US,1.5U,2016-11-11,"Operational, ?",Demonstrate scalable ion-electrospray propulsion system and materials experiments.,
561,CELTEE 1,Air Force Research Laboratory (AFRL),US,1U,2016-11-11,Unknown,Evaluate the performance of M42 Techs Enhanced Location Transponder (ELT).,
562,"OptiCube 4 (O/C, Optical CubeSat)",California Polytechnic State University,US,2U,2016-11-11,Passive,Passive on-orbit target for calibration and orbital debris studies.,
563,Prometheus 2.1,USSOCOM (US Special Operations Command),US,1.5U,2016-11-11,"Unknown, Likely operational",Demonstrate improved CubeSat platform.,
564,Prometheus 2.3,USSOCOM (US Special Operations Command),US,1.5U,2016-11-11,"Unknown, Likely operational",Demonstrate improved CubeSat platform.,
565,"RAVAN XB3 (Radiometer Assessment Using Vertical Aligned Nanotubes, Ravan XB-3)",Johns Hopkins Applied Physics Laboratory,US,3U,2016-11-11,Operational,Measure the absolute imbalance in the Earth's radiation budget using radiometer.,
566,Aoba-Velox-III (VELOX-III),Kyushu Institute of Technology,Japan,2U,2016-12-09,"Reentered, Operational",Demonstrate pulsed plasma thruster and internal Bluetooth communication.,
567,EGG (re-Entry satellite with Gossamer aeroshell and Gps/Iridium),University of Tokyo,Japan,3U,2016-12-09,"Reentered, Operational",Test a deployable gossamer 60 cm aeroshell for reentry.,
568,FREEDOM,Tohoku University,Japan,1U,2016-12-09,"Reentered, Operational",Test deployment of 1 x 1.5m membrane for deorbiting.,
569,"ITF-2 (Imagine The Future 2, Yui 2, TO 89, Tsukuba-OSCAR 89)",University of Tsukuba,Japan,1U,2016-12-09,"Reentered, Was operational, Semi-operational",Amateur radio communications and small antenna.,
570,Lemur-2 18 Trutna (FM19),Spire,US,3U,2016-12-09,"Reentered, Operational","Constellation for GPS radio occultation weather data, AIS and ADS-B.",
571,Lemur-2 19 TrutnaHD (FM20),Spire,US,3U,2016-12-09,"Reentered, Operational","Constellation for GPS radio occultation weather data, AIS and ADS-B.",
572,Lemur-2 20 Austintacious (FM21),Spire,US,3U,2016-12-09,"Reentered, Operational","Constellation for GPS radio occultation weather data, AIS and ADS-B.",
573,Lemur-2 21 Redfern-Goes (FM22),Spire,US,3U,2016-12-09,"Reentered, Operational","Constellation for GPS radio occultation weather data, AIS and ADS-B.",
574,OSNSAT (OSNSat),Open Space Network,US,TubeSat,2016-12-09,"Reentered, No signal",\-,
575,"STARS-C Koki (STARS-III Daughter, Hagoromo)",Shizuoka University,Japan,1U,2016-12-09,"Reentered, Operational",Demonstration of tethered satellites for future space elevator.,
576,"STARS-C Oyaki (STARS-III Mother, Hagoromo)",Shizuoka University,Japan,1U,2016-12-09,"Reentered, Operational",Demonstration of tethered satellites for future space elevator.,
577,Tancredo 1,Presidente Tancredo de Almeida Neves,Brazil,TubeSat,2016-12-09,"Reentered, Was operational",One of the first TubeSats for educational training.,
578,"TechEdSat-5 (PhoneSat 5, TES-5)",NASA Ames Research Center,US,3.5U,2016-12-09,"Reentered, Semi-operational",Demonstrate deployable device for precise deorbiting.,
579,TuPOD,GAUSS,Italy,3U,2016-12-09,"Reentered, Was operational",Deploy 2 TubeSats and Morse code transmissions.,
580,Waseda-SAT3 (WasedaSat-3),Waseda University,Japan,1U,2016-12-09,"Reentered, No signal",Deploy a ultra light drag chute for accelerated deorbiting.,
581,"BY-1 (BY70-1, Bayi Kepu Weixing 1, ZG2U, BY 1)",China Center for Aerospace Science and Technology,China,2U,2016-12-28,"Reentered, Operational",Amateur radio missions.,
582,Kaidun 1 (Caton 1),Beijing Kaidun Universal Technology,China,2U,2017-01-09,Was operational,Test a VHF Data Exchange System (VDES) for communications via the Inmarsat satellite system.,
583,"XY S1 (Xingyun Shiyan 1, Dong Fang Hong 166)",Northwestern Polytechnical University,China,2U,2017-01-09,Unknown,Test L-band narrow-band communications. Demonstration for Xingyun / Hongyun constellation.,
584,TRICOM 1,University of Tokyo,Japan,3U,2017-01-14,Launch failure,Take pictures of the Earth.,
585,Al-Farabi 1,Al-Farabi Kazak National University,Kazakhstan,2U,2017-02-15,No signal,Demonstrate CubeSat platform technologies and take photos of Earth.,
586,BGUSat (NEGEVSAT),Ben Gurion University Satellite,Israel,3U,2017-02-15,Operational,"First educational satellite. VGA Camera, ADCS.",
587,"DIDO-2 (SpacePharma, Chen Jiayong 1, Chen Jiayi, Chenjiayi-1)",SpacePharma / Spacety,Israel,3U,2017-02-15,Operational,Carry the first generation of their mGnify lab to conduct biochemical experiments in microgravity.,
588,Flock-3p 1,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
589,Flock-3p 2,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
590,Flock-3p 3,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
591,Flock-3p 4,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
592,Flock-3p 5,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
593,Flock-3p 6,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
594,Flock-3p 7,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
595,Flock-3p 8,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
596,Flock-3p 9,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
597,Flock-3p 10,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
598,Flock-3p 11,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
599,Flock-3p 12,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
600,Flock-3p 13,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
601,Flock-3p 14,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
602,Flock-3p 15,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
603,Flock-3p 16,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
604,Flock-3p 17,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
605,Flock-3p 18,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
606,Flock-3p 19,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
607,Flock-3p 20,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
608,Flock-3p 21,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
609,Flock-3p 22,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
610,Flock-3p 23,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
611,Flock-3p 24,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
612,Flock-3p 25,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
613,Flock-3p 26,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
614,Flock-3p 27,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
615,Flock-3p 28,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
616,Flock-3p 29,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
617,Flock-3p 30,Planet Labs,US,3U,2017-02-15,"Was operational, Retired",Constellation for optical Earth observation with 3-5m resolution.,
618,Flock-3p 31,Planet Labs,US,3U,2017-02-15,"Was operational, Retired",Constellation for optical Earth observation with 3-5m resolution.,
619,Flock-3p 32,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
620,Flock-3p 33,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
621,Flock-3p 34,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
622,Flock-3p 35,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
623,Flock-3p 36,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
624,Flock-3p 37,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
625,Flock-3p 38,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
626,Flock-3p 39,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
627,Flock-3p 40,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
628,Flock-3p 41,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
629,Flock-3p 42,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
630,Flock-3p 43,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
