,System,Institution,# sats,Sat Size,Size Spec,Homogenaity,Field,Sub-Class,Category,Type,Control Arch,Launch Date,Operation,Status,Orbit,Funding,Ref,,,,,,,,,
,OCEAN,SRT Marine,6,,3U,different,,Constellation,,,,x_cancelled,0,cancelled,,,3109,,,,,,,,,
,Outernet,Outernet,4,,1U,different,,Formation,,,,x_cancelled,0,cancelled,,,3120,,,,,,,,,
,PEARLS,Sky and Space Global,200,,8U (4Ux2U),different,,idk,,,,x_cancelled,0,cancelled,,,3130,,,,,,,,,
,PQ,Micro-Space Inc,4,,0.12 kg,identical,,idk,,,,x_cancelled,0,cancelled,,,3348,,,,,,,,,
,QuARCS,"University of California, Davis",2,,1U,identical,,idk,,,,x_cancelled,0,cancelled,,,3357,,,,,,,,,
,Rascal,Saint Louis University,2,,3U,identical,,idk,,,,x_cancelled,0,cancelled,,,3363,,,,,,,,,
,RoBiSat,Romanian Space Agency Institute of Space Science,2,,2U,identical,,idk,,,,x_cancelled,0,cancelled,,,3369,,,,,,,,,
,Rupercorp,Rupercorp,3,,6U,identical,,Constellation,,,,x_cancelled,0,cancelled,,,3375,,,,,,,,,
,RyeF3Ex,Ryerson University,2,,PocketQube,identical,,idk,,,,x_cancelled,0,cancelled,,,3379,,,,,,,,,
,SCION,University of Michigan,2,,1U,identical,,idk,,,,x_cancelled,0,cancelled,,,3386,,,,,,,,,
,SpaceTime,SpaceTime Enterprises,2,,3U,identical,,idk,,,,x_cancelled,0,cancelled,,,3405,,,,,,,,,
,Starling,Aerial & Maritime,8,,3U,different,,idk,,,,x_cancelled,0,cancelled,,,3409,,,,,,,,,
,TetherSat,Naval Postgraduate School (NPS),2,,1.5U,identical,,idk,,,,x_cancelled,0,cancelled,,,3431,,,,,,,,,
,Tomsk,Tomsk Polytechnic University,2,,3U,different,,idk,,,,x_cancelled,0,cancelled,,,3435,,,,,,,,,
,TY1,Hunan Amateur Radio Society,2,,6U,identical,,idk,,,,x_cancelled,0,cancelled,,,3445,,,,,,,,,
,Ulises,,,,,,,,,,,,,,,,,,,,,,,,,
